
time,frontLDR,topLDR,middleLDR,bottomLDR,topSolenoid,middleSolenoid,bottomSolenoid,
0,922,909,918,905,0,0,0,
100,963,926,946,948,0,0,0,
200,989,939,965,980,0,0,0,
300,992,943,970,988,0,0,0,
400,990,941,968,990,0,0,0,
500,987,934,961,990,0,0,0,
600,985,918,944,986,0,0,0,
700,982,897,923,979,0,0,0,
800,978,881,909,974,0,0,0,
900,976,876,905,972,0,0,0,
1000,977,874,903,972,0,0,0,
1100,978,873,902,972,0,0,0,
1200,976,872,902,971,0,0,0,
1300,977,871,901,970,0,0,0,
1400,976,870,900,971,0,0,0,
1500,977,870,901,971,0,0,0,
1600,976,870,901,970,0,0,0,
1700,977,870,901,970,0,0,0,
1800,976,869,900,971,0,0,0,
1900,977,869,900,970,0,0,0,
2000,976,869,900,970,0,0,0,
2100,976,869,900,970,0,0,0,
2200,975,869,900,971,0,0,0,
2300,978,869,900,970,0,0,0,
2400,976,869,900,969,0,0,0,
2500,976,869,900,970,0,0,0,
2600,975,868,900,970,0,0,0,
2700,975,868,899,970,0,0,0,
2800,976,869,900,970,0,0,0,
2900,975,869,900,970,0,0,0,
3000,976,869,900,971,0,0,0,
3100,976,869,900,970,0,0,0,
3200,976,869,900,970,0,0,0,
3300,970,863,895,970,0,0,0,
3400,970,862,895,969,0,0,0,
3500,969,861,901,969,0,0,0,
3600,970,862,903,969,0,0,0,
3700,971,861,881,969,0,0,0,
3800,968,862,866,969,0,0,0,
3900,969,861,833,969,0,0,0,
4000,969,860,821,969,0,0,0,
4100,969,861,817,968,0,0,0,
4200,968,860,812,969,0,0,0,
4300,969,861,824,969,0,0,0,
4400,969,861,845,968,0,0,0,
4500,971,861,873,969,0,0,0,
4600,969,860,882,969,0,0,0,
4700,968,860,886,969,0,0,0,
4800,970,860,887,968,0,0,0,
4900,970,861,889,969,0,0,0,
5000,972,861,891,969,0,0,0,
5100,971,861,891,969,0,0,0,
5200,971,861,892,968,0,0,0,
5300,969,860,891,969,0,0,0,
5400,971,860,892,969,0,0,0,
5500,967,860,892,969,0,0,0,
5600,971,859,894,969,0,0,0,
5700,971,861,891,969,0,0,0,
5800,971,861,893,969,0,0,0,
5900,970,860,892,968,0,0,0,
6000,969,859,893,969,0,0,0,
6100,971,860,892,969,0,0,0,
6200,969,860,893,967,0,0,0,
6300,971,861,894,968,0,0,0,
6400,969,860,894,969,0,0,0,
6500,971,861,894,969,0,0,0,
6600,969,859,892,968,0,0,0,
6700,969,860,893,968,0,0,0,
6800,968,859,892,968,0,0,0,
6900,971,860,894,970,0,1024,0,
