
time,frontLDR,topLDR,middleLDR,bottomLDR,topSolenoid,middleSolenoid,bottomSolenoid,
0,1004,966,984,1007,0,0,0,
100,1004,967,984,1007,0,0,0,
200,1003,966,985,1007,0,0,0,
300,1003,966,985,1006,0,0,0,
400,1004,967,985,1007,0,0,0,
500,1003,966,985,1007,0,0,0,
600,1004,966,985,1007,0,0,0,
700,1003,966,986,1007,0,0,0,
800,1004,966,985,1007,0,0,0,
900,1003,966,985,1007,0,0,0,
1000,1004,966,985,1007,0,0,0,
1100,1003,966,985,1007,0,0,0,
1200,1004,967,986,1007,0,0,0,
1300,1002,966,985,1007,0,0,0,
1400,1004,966,985,1007,0,0,0,
1500,1003,966,985,1007,0,0,0,
1600,1003,966,985,1008,0,0,0,
1700,1004,967,985,1007,0,0,0,
1800,1004,966,985,1007,0,0,0,
1900,1004,967,986,1007,0,0,0,
2000,1004,967,987,1007,0,0,0,
2100,1004,967,986,1007,0,0,0,
2200,1004,967,985,1007,0,0,0,
2300,1003,968,986,1007,0,0,0,
2400,1004,968,986,1005,0,0,0,
2500,1004,968,986,1007,0,0,0,
2600,1004,968,986,1007,0,0,0,
2700,1003,967,986,1007,0,0,0,
2800,1004,966,986,1007,0,0,0,
2900,1004,968,985,1007,0,0,0,
3000,1004,967,986,1007,0,0,0,
3100,1004,968,986,1007,0,0,0,
3200,1004,967,986,1007,0,0,0,
3300,1004,968,986,1006,0,0,0,
3400,1003,967,986,1007,0,0,0,
3500,1004,966,986,1007,0,0,0,
3600,1004,967,986,1007,0,0,0,
3700,1004,968,986,1007,0,0,0,
3800,1004,967,986,1008,0,0,0,
3900,1004,968,986,1007,0,0,0,
4000,1004,967,986,1007,0,0,0,
4100,1004,968,986,1007,0,0,0,
4200,1004,967,986,1007,0,0,0,
4300,1004,966,986,1007,0,0,0,
4400,1004,967,986,1007,0,0,0,
4500,1004,968,984,1007,0,0,0,
4600,1004,968,986,1007,0,0,0,
4700,1004,967,986,1007,0,0,0,
4800,1004,968,986,1007,0,0,0,
4900,1004,967,986,1007,0,0,0,
5000,1004,967,985,1007,0,0,0,
5100,1004,967,986,1007,0,0,0,
5200,1004,966,985,1008,0,0,0,
5300,1004,967,986,1007,0,0,0,
5400,1004,967,985,1007,0,0,0,
5500,1004,967,986,1006,0,0,0,
5600,1004,967,985,1007,0,0,0,
5700,1002,967,985,1007,0,0,0,
5800,1003,965,986,1007,0,0,0,
5900,1004,967,986,1007,0,0,0,
6000,1004,967,985,1008,0,0,0,
6100,1004,967,985,1007,0,0,0,
6200,1003,966,985,1006,0,0,0,
6300,1004,967,985,1007,0,0,0,
6400,1003,966,985,1007,0,0,0,
6500,1003,966,985,1007,0,0,0,
6600,1003,966,985,1007,0,0,0,
6700,1004,967,985,1007,0,0,0,
6800,1003,966,985,1007,0,0,0,
6900,1003,967,986,1008,1024,0,0,
7000,1003,966,985,1007,1024,0,0,
7100,1004,967,986,1007,1024,0,0,
7200,1004,967,986,1006,1024,0,0,
