time, topLDR, middleLDR, bottomLDR, topSolenoid, middleSolenoid, bottomSolenoid
1392243225243,351,413,388,false,false,false
1392243225243,351,414,388,false,false,false
1392243225244,351,414,388,false,false,false
1392243225294,351,414,388,false,false,false
1392243225294,351,413,388,false,false,false
1392243225295,351,413,388,false,false,false
1392243225345,352,413,388,false,false,false
1392243225345,352,413,388,false,false,false
1392243225345,352,413,388,false,false,false
1392243225395,351,413,388,false,false,false
1392243225395,351,412,388,false,false,false
1392243225395,351,412,391,false,false,false
1392243225445,351,412,391,false,false,false
1392243225445,351,413,391,false,false,false
1392243225445,351,413,386,false,false,false
1392243225496,351,413,386,false,false,false
1392243225496,351,413,386,false,false,false
1392243225496,351,413,388,false,false,false
1392243225546,351,413,388,false,false,false
1392243225546,351,413,388,false,false,false
1392243225547,351,413,389,false,false,false
1392243225598,351,413,389,false,false,false
1392243225598,351,413,389,false,false,false
1392243225598,351,413,388,false,false,false
1392243225648,351,413,388,false,false,false
1392243225648,351,414,388,false,false,false
1392243225649,351,414,388,false,false,false
1392243225701,351,414,388,false,false,false
1392243225702,351,413,388,false,false,false
1392243225702,351,413,388,false,false,false
1392243225752,351,413,388,false,false,false
1392243225752,351,413,388,false,false,false
1392243225752,351,413,388,false,false,false
1392243225802,351,413,388,false,false,false
1392243225803,351,412,388,false,false,false
1392243225803,351,412,389,false,false,false
1392243225854,351,412,389,false,false,false
1392243225854,351,413,389,false,false,false
1392243225854,351,413,388,false,false,false
1392243225905,351,413,388,false,false,false
1392243225906,351,414,388,false,false,false
1392243225906,351,414,388,false,false,false
1392243225956,351,414,388,false,false,false
1392243225957,351,413,388,false,false,false
1392243225957,351,413,388,false,false,false
1392243226008,354,413,388,false,false,false
1392243226008,354,413,388,false,false,false
1392243226008,354,413,388,false,false,false
1392243226058,350,413,388,false,false,false
1392243226058,350,413,388,false,false,false
1392243226058,350,413,389,false,false,false
1392243226108,351,413,389,false,false,false
1392243226108,351,413,389,false,false,false
1392243226109,351,413,388,false,false,false
1392243226159,351,413,388,false,false,false
1392243226159,351,413,388,false,false,false
1392243226159,351,413,388,false,false,false
1392243226210,350,413,388,false,false,false
1392243226210,350,413,388,false,false,false
1392243226210,350,413,389,false,false,false
1392243226261,351,413,389,false,false,false
1392243226261,351,413,389,false,false,false
1392243226261,351,413,388,false,false,false
1392243226311,351,413,388,false,false,false
1392243226312,351,414,388,false,false,false
1392243226313,351,414,388,false,false,false
1392243226364,353,414,388,false,false,false
1392243226364,353,413,388,false,false,false
1392243226365,353,413,388,false,false,false
1392243226415,351,413,388,false,false,false
1392243226416,351,413,388,false,false,false
1392243226416,351,413,388,false,false,false
1392243226468,351,413,388,false,false,false
1392243226468,351,413,388,false,false,false
1392243226468,351,413,388,false,false,false
1392243226519,351,413,388,false,false,false
1392243226519,351,413,388,false,false,false
1392243226519,351,413,388,false,false,false
1392243226569,351,413,388,false,false,false
1392243226569,351,414,388,false,false,false
1392243226569,351,414,388,false,false,false
1392243226619,351,414,388,false,false,false
1392243226619,351,413,388,false,false,false
1392243226619,351,413,389,false,false,false
1392243226670,351,413,389,false,false,false
1392243226670,351,413,389,false,false,false
1392243226670,351,413,388,false,false,false
1392243226720,351,413,388,false,false,false
1392243226720,351,413,388,false,false,false
1392243226720,351,413,389,false,false,false
1392243226770,351,413,389,false,false,false
1392243226770,351,413,389,false,false,false
1392243226770,351,413,389,false,false,false
1392243226822,351,413,389,false,false,false
1392243226822,351,413,389,false,false,false
1392243226822,351,413,388,false,false,false
1392243226872,352,413,388,false,false,false
1392243226872,352,413,388,false,false,false
1392243226872,352,413,389,false,false,false
1392243226922,351,413,389,false,false,false
1392243226922,351,413,389,false,false,false
1392243226922,351,413,388,false,false,false
1392243226973,351,413,388,false,false,false
1392243226974,351,414,388,false,false,false
1392243226974,351,414,388,false,false,false
1392243227024,351,414,388,false,false,false
1392243227024,351,412,388,false,false,false
1392243227024,351,412,388,false,false,false
1392243227074,351,412,388,false,false,false
1392243227074,351,413,388,false,false,false
1392243227075,351,413,388,false,false,false
1392243227125,351,413,388,false,false,false
1392243227125,351,413,388,false,false,false
1392243227125,351,413,388,false,false,false
1392243227176,351,413,388,false,false,false
1392243227176,351,413,388,false,false,false
1392243227176,351,413,388,false,false,false
1392243227226,351,413,388,false,false,false
1392243227226,351,413,388,false,false,false
1392243227226,351,413,388,false,false,false
1392243227277,350,413,388,false,false,false
1392243227277,350,413,388,false,false,false
1392243227277,350,413,389,false,false,false
1392243227327,351,413,389,false,false,false
1392243227327,351,413,389,false,false,false
1392243227327,351,413,388,false,false,false
1392243227377,351,413,388,false,false,false
1392243227377,351,413,388,false,false,false
1392243227377,351,413,388,false,false,false
1392243227427,351,413,388,false,false,false
1392243227427,351,413,388,false,false,false
1392243227428,351,413,389,false,false,false
1392243227479,351,413,389,false,false,false
1392243227479,351,413,389,false,false,false
1392243227479,351,413,388,false,false,false
1392243227530,350,413,388,false,false,false
1392243227530,350,413,388,false,false,false
1392243227530,350,413,388,false,false,false
1392243227581,351,413,388,false,false,false
1392243227581,351,413,388,false,false,false
1392243227581,351,413,388,false,false,false
1392243227632,351,413,388,false,false,false
1392243227632,351,414,388,false,false,false
1392243227632,351,414,388,false,false,false
1392243227683,351,414,388,false,false,false
1392243227683,351,413,388,false,false,false
1392243227683,351,413,389,false,false,false
1392243227735,351,413,389,false,false,false
1392243227735,351,413,389,false,false,false
1392243227735,351,413,388,false,false,false
1392243227785,351,413,388,false,false,false
1392243227785,351,414,388,false,false,false
1392243227786,351,414,388,false,false,false
1392243227837,351,414,388,false,false,false
1392243227837,351,413,388,false,false,false
1392243227837,351,413,388,false,false,false
1392243227887,353,413,388,false,false,false
1392243227887,353,413,388,false,false,false
1392243227887,353,413,388,false,false,false
1392243227939,351,413,388,false,false,false
1392243227939,351,412,388,false,false,false
1392243227940,351,412,388,false,false,false
1392243227990,351,412,388,false,false,false
1392243227991,351,413,388,false,false,false
1392243227992,351,413,388,false,false,false
1392243228043,351,413,388,false,false,false
1392243228043,351,412,388,false,false,false
1392243228043,351,412,388,false,false,false
1392243228093,350,412,388,false,false,false
1392243228093,350,413,388,false,false,false
1392243228093,350,413,388,false,false,false
1392243228144,351,413,388,false,false,false
1392243228144,351,413,388,false,false,false
1392243228144,351,413,388,false,false,false
1392243228194,351,413,388,false,false,false
1392243228194,351,414,388,false,false,false
1392243228194,351,414,387,false,false,false
1392243228245,353,414,387,false,false,false
1392243228245,353,413,387,false,false,false
1392243228245,353,413,388,false,false,false
1392243228295,351,413,388,false,false,false
1392243228295,351,413,388,false,false,false
1392243228295,351,413,388,false,false,false
1392243228347,351,413,388,false,false,false
1392243228347,351,413,388,false,false,false
1392243228347,351,413,389,false,false,false
1392243228398,351,413,389,false,false,false
1392243228398,351,412,389,false,false,false
1392243228398,351,412,387,false,false,false
1392243228448,351,412,387,false,false,false
1392243228448,351,414,387,false,false,false
1392243228448,351,414,388,false,false,false
1392243228498,351,414,388,false,false,false
1392243228498,351,412,388,false,false,false
1392243228498,351,412,390,false,false,false
1392243228548,351,412,390,false,false,false
1392243228548,351,413,390,false,false,false
1392243228548,351,413,388,false,false,false
1392243228599,351,413,388,false,false,false
1392243228599,351,413,388,false,false,false
1392243228599,351,413,388,false,false,false
1392243228649,351,413,388,false,false,false
1392243228649,351,414,388,false,false,false
