
time,frontLDR,topLDR,middleLDR,bottomLDR,topSolenoid,middleSolenoid,bottomSolenoid,
0,1003,971,986,1006,0,0,0,
100,1003,971,986,1007,0,0,0,
200,1004,971,986,1006,0,0,0,
300,1003,972,986,1006,0,0,0,
400,1003,972,986,1005,0,0,0,
500,1003,971,986,1006,0,0,0,
600,1003,971,986,1006,0,0,0,
700,1002,971,985,1006,0,0,0,
800,1002,971,986,1006,0,0,0,
900,1002,970,985,1006,0,0,0,
1000,1002,970,985,1006,0,0,0,
1100,1002,970,985,1006,0,0,0,
1200,1002,970,985,1006,0,0,0,
1300,1002,969,986,1007,0,0,0,
1400,1003,971,986,1006,0,0,0,
1500,1002,971,985,1005,0,0,0,
1600,1003,971,985,1006,1024,0,0,
1700,1002,971,985,1005,1024,0,0,
1800,1003,970,986,1006,1024,0,0,
1900,1002,971,985,1006,1024,0,0,
2000,1001,971,986,1006,0,0,0,
2100,1002,971,986,1007,0,0,0,
2200,1003,971,986,1006,0,0,0,
2300,1003,971,986,1005,0,0,0,
2400,1004,971,986,1006,0,0,0,
2500,1002,971,986,1006,0,0,0,
2600,1003,971,986,1006,0,1024,0,
2700,1003,971,986,1007,0,1024,0,
2800,1003,972,986,1006,0,1024,0,
2900,1004,971,986,1006,0,1024,0,
3000,1003,972,986,1006,0,0,0,
3100,1003,971,986,1004,0,0,0,
3200,1002,971,986,1006,0,0,0,
3300,1003,969,986,1007,0,0,0,
3400,1003,971,986,1006,0,0,0,
3500,1002,971,986,1006,0,0,0,
3600,1003,971,985,1006,0,0,0,
3700,1003,971,986,1006,0,0,0,
3800,1003,971,986,1006,0,0,0,
3900,1001,971,985,1006,0,0,0,
4000,1003,969,986,1006,0,0,0,
4100,1002,970,985,1007,0,0,0,
4200,1002,971,984,1006,0,0,0,
4300,1003,970,985,1006,0,0,1024,
4400,1002,971,986,1005,0,0,1024,
4500,1002,971,986,1006,0,0,1024,
4600,1002,970,986,1006,0,0,1024,
4700,1002,970,986,1006,0,0,0,
4800,1001,970,986,1006,0,0,0,
4900,1002,971,986,1006,0,0,0,
5000,1002,970,985,1006,0,0,0,
5100,1002,971,985,1006,0,0,0,
5200,1002,970,985,1006,0,0,0,
5300,1002,971,986,1006,0,0,0,
5400,1003,971,985,1006,0,0,0,
5500,1003,971,986,1006,0,0,0,
5600,1003,971,985,1006,0,1024,0,
5700,1003,971,986,1006,0,1024,0,
5800,1004,971,986,1006,0,1024,0,
5900,1003,972,987,1006,0,1024,0,
6000,1003,972,986,1006,0,0,0,
6100,1003,972,986,1006,0,0,0,
6200,1003,972,986,1006,0,0,0,
6300,1003,972,986,1006,0,0,0,
6400,1003,972,986,1007,0,0,0,
6500,1004,972,986,1006,0,0,0,
6600,1002,972,986,1006,0,0,0,
6700,1003,971,986,1006,1024,0,0,
6800,1003,972,987,1006,1024,0,0,
6900,1003,972,986,1006,1024,0,0,
7000,1003,971,985,1007,1024,0,0,
7100,1003,972,986,1006,0,0,0,
7200,1003,971,986,1006,0,0,0,
7300,1003,972,986,1006,0,0,0,
7400,1003,971,987,1006,0,0,0,
7500,1002,972,986,1006,0,0,0,
7600,1003,969,986,1007,0,1024,0,
7700,1003,971,985,1006,0,1024,0,
7800,1003,971,986,1006,0,1024,0,
7900,1003,972,984,1006,0,1024,0,
8000,1003,972,986,1006,0,0,0,
8100,1003,972,986,1006,0,0,0,
8200,1003,972,986,1006,0,0,0,
8300,1003,972,986,1007,0,0,0,
8400,1003,970,986,1007,0,0,0,
8500,1003,971,986,1007,0,0,1024,
8600,1003,971,985,1008,0,0,1024,
8700,1003,971,986,1006,0,0,1024,
8800,1004,971,986,1006,0,0,1024,
8900,1004,971,986,1006,0,0,0,
9000,1004,971,986,1007,0,0,0,
9100,1004,969,986,1007,0,0,0,
9200,1004,971,986,1007,0,0,0,
9300,1005,972,986,1007,0,0,0,
9400,1004,971,986,1008,1024,0,0,
9500,1005,973,986,1007,1024,0,0,
9600,1004,972,987,1007,1024,0,0,
9700,1003,972,986,1007,1024,0,0,
9800,1004,970,986,1007,0,0,0,
9900,1005,970,987,1007,0,0,0,
10000,1005,972,986,1007,0,0,0,
10100,1005,972,987,1008,0,0,0,
10200,1005,972,987,1007,0,0,0,
10300,1005,973,987,1007,0,0,0,
10400,1004,972,987,1007,0,0,0,
10500,1004,973,987,1007,1024,0,0,
10600,1004,973,986,1007,1024,0,0,
10700,1004,973,987,1007,1024,0,0,
10800,1004,973,986,1007,1024,0,0,
10900,1005,972,986,1007,0,0,0,
11000,1004,972,987,1007,0,0,0,
11100,1003,972,986,1007,0,0,0,
11200,1003,972,986,1007,0,0,0,
11300,1004,971,986,1006,0,0,0,
11400,1004,971,986,1007,0,0,0,
11500,1004,971,986,1007,0,0,0,
11600,1004,972,986,1006,0,1024,0,
11700,1004,972,986,1005,0,1024,0,
11800,1004,972,986,1006,0,1024,0,
11900,1002,972,986,1006,0,1024,0,
12000,1004,970,986,1007,0,0,0,
12100,1004,972,986,1007,0,0,0,
12200,1004,972,986,1007,0,0,0,
12300,1004,972,986,1006,0,0,0,
12400,1004,972,986,1007,0,0,0,
12500,1004,972,986,1006,0,0,0,
12600,1004,972,986,1006,0,0,0,
12700,1004,970,986,1007,0,1024,0,
12800,1004,972,986,1006,0,1024,0,
12900,1003,972,986,1007,0,1024,0,
13000,1004,972,985,1006,0,1024,0,
13100,1003,970,985,1006,0,0,0,
13200,1003,970,985,1006,0,0,0,
13300,1001,970,985,1006,0,0,0,
13400,1003,968,986,1006,0,0,0,
13500,1002,970,985,1006,0,0,0,
13600,1003,970,985,1007,0,0,0,
13700,1003,970,984,1006,0,0,0,
13800,1003,971,985,1006,0,0,1024,
13900,1002,969,985,1006,0,0,1024,
14000,1002,970,985,1006,0,0,1024,
14100,1003,970,985,1007,0,0,1024,
14200,1002,970,985,1007,0,0,0,
14300,1003,970,985,1007,0,0,0,
14400,1004,970,985,1006,0,0,0,
14500,1002,969,985,1006,0,0,0,
14600,1002,969,985,1006,0,0,0,
14700,1001,969,985,1006,0,0,0,
14800,1002,969,985,1007,0,0,0,
14900,1003,970,985,1007,0,0,0,
15000,1004,969,985,1006,0,0,0,
15100,1003,970,985,1006,1024,0,0,
15200,1003,970,985,1006,1024,0,0,
15300,1001,969,985,1006,1024,0,0,
15400,1003,970,983,1007,1024,0,0,
15500,1003,970,985,1006,0,0,0,
15600,1003,970,985,1007,0,0,0,
15700,1003,970,985,1006,0,0,0,
15800,1003,970,986,1006,0,0,0,
15900,1003,970,985,1006,0,0,0,
16000,1003,968,985,1007,0,0,0,
16100,1003,970,985,1006,0,0,0,
16200,1004,970,985,1006,0,0,0,
16300,1002,969,985,1007,0,0,0,
16400,1003,970,985,1005,0,1024,0,
16500,1002,970,985,1006,0,1024,0,
16600,1003,968,985,1007,0,1024,0,
16700,1002,969,983,1006,0,1024,0,
16800,1003,970,985,1006,0,0,0,
16900,1002,970,985,1006,0,0,0,
17000,1003,970,985,1007,0,0,0,
17100,1003,970,985,1006,0,0,0,
17200,1003,969,985,1006,0,0,0,
17300,1001,969,985,1006,0,0,0,
17400,1003,970,985,1006,0,0,0,
17500,1003,970,985,1006,0,0,0,
17600,1003,971,985,1006,0,0,0,
17700,1002,969,985,1006,0,1024,0,
17800,1003,970,985,1006,0,1024,0,
17900,1002,969,985,1007,0,1024,0,
18000,1003,969,985,1006,0,1024,0,
18100,1002,969,984,1006,0,0,0,
18200,1003,969,985,1006,0,0,0,
18300,1002,969,984,1005,0,0,0,
18400,1001,969,985,1006,0,0,0,
18500,1002,968,985,1007,0,0,0,
18600,1002,969,985,1006,0,0,0,
18700,1003,970,984,1007,0,0,0,
18800,1003,969,985,1006,0,0,0,
18900,1003,969,985,1006,0,0,0,
19000,1002,970,985,1007,0,0,0,
19100,1002,969,984,1006,0,0,0,
19200,1002,969,984,1006,0,0,0,
19300,1002,969,984,1006,0,0,0,
19400,1002,969,984,1006,0,0,0,
19500,1002,970,984,1004,0,0,1024,
19600,1002,969,984,1006,0,0,1024,
19700,1002,967,984,1006,0,0,1024,
19800,1002,968,985,1007,0,0,1024,
19900,1002,969,984,1006,0,0,0,
20000,1003,969,985,1006,0,0,0,
20100,1003,970,985,1006,0,0,0,
20200,1001,970,985,1006,0,0,0,
20300,1003,970,985,1006,0,0,0,
20400,1003,970,985,1006,0,0,0,
20500,1003,970,985,1007,0,0,0,
20600,1003,970,985,1007,0,0,0,
20700,1003,970,985,1006,0,0,0,
20800,1003,969,985,1007,0,0,0,
20900,1003,970,985,1006,0,0,0,
21000,1003,970,985,1006,0,0,0,
21100,1003,971,985,1006,0,0,0,
21200,1003,970,985,1004,0,0,1024,
21300,1002,969,985,1006,0,0,1024,
21400,1002,969,985,1007,0,0,1024,
21500,1002,969,985,1006,0,0,1024,
21600,1002,969,985,1006,0,0,0,
21700,1002,969,982,1007,0,0,0,
21800,1002,969,984,1006,0,0,0,
21900,1002,969,984,1004,0,0,0,
22000,1002,968,984,1006,0,0,0,
22100,1002,969,984,1006,0,0,0,
22200,1002,969,982,1007,0,0,0,
22300,1002,969,984,1006,0,0,0,
22400,1002,969,984,1006,0,0,0,
22500,1003,969,984,1006,0,0,0,
22600,1002,969,984,1006,0,0,0,
22700,1002,969,984,1006,0,0,0,
22800,1002,968,982,1007,0,0,0,
22900,1002,969,984,1006,1024,0,0,
23000,1002,968,984,1006,1024,0,0,
23100,1003,969,985,1006,1024,0,0,
23200,1001,968,984,1006,1024,0,0,
23300,1002,969,984,1007,0,0,0,
23400,1002,968,984,1006,0,0,0,
23500,1003,968,984,1007,0,0,0,
23600,1002,968,984,1007,0,0,0,
23700,1002,968,984,1006,0,0,0,
23800,1002,967,984,1006,0,0,0,
23900,1002,969,984,1006,0,0,0,
24000,1003,968,984,1007,0,0,0,
24100,1002,969,984,1006,0,0,0,
24200,1002,968,984,1005,0,0,0,
24300,1002,968,984,1007,0,0,0,
24400,1002,966,984,1007,0,0,0,
24500,1002,969,984,1006,0,0,0,
24600,1002,968,984,1005,0,0,0,
24700,1004,970,985,1007,0,0,0,
24800,1004,970,985,1006,0,0,0,
24900,1002,971,986,1006,0,0,0,
25000,1004,971,984,1007,0,0,0,
25100,1004,971,986,1007,0,0,0,
25200,1004,971,985,1006,0,0,0,
25300,1003,971,986,1007,0,0,0,
25400,1002,971,986,1006,0,0,0,
25500,1004,971,986,1007,1024,0,0,
25600,1003,971,986,1008,1024,0,0,
25700,1004,971,986,1006,1024,0,0,
25800,1003,971,986,1006,1024,0,0,
25900,1003,971,986,1007,0,0,0,
26000,1003,971,985,1006,0,0,0,
26100,1002,970,985,1006,0,0,0,
26200,1000,967,983,1006,0,0,0,
26300,998,964,983,1005,0,0,0,
26400,996,962,982,1003,0,0,0,
26500,998,963,982,1005,0,0,0,
26600,998,965,983,1006,0,0,0,
26700,1002,966,984,1006,0,0,0,
26800,1002,966,984,1006,1024,0,0,
26900,1003,965,985,1006,1024,0,0,
27000,1003,965,985,1007,1024,0,0,
27100,1003,964,985,1007,1024,0,0,
27200,1001,963,985,1007,0,0,0,
27300,1002,962,984,1007,0,0,0,
27400,1002,961,984,1007,0,0,0,
27500,1002,961,984,1007,0,0,0,
27600,1002,961,984,1007,0,0,0,
27700,1001,958,984,1007,0,1024,0,
27800,1002,960,984,1007,0,1024,0,
27900,1001,960,984,1007,0,1024,0,
28000,1002,960,984,1006,0,1024,0,
28100,1001,959,984,1004,0,0,0,
28200,1001,960,984,1006,0,0,0,
28300,1001,959,983,1007,0,0,0,
28400,1001,960,982,1007,0,0,0,
28500,1001,959,984,1006,0,0,1024,
28600,1001,959,984,1005,0,0,1024,
28700,1001,959,984,1007,0,0,1024,
28800,1002,959,984,1006,0,0,1024,
28900,1001,959,984,1006,0,0,0,
29000,1001,959,984,1007,0,0,0,
29100,1001,959,983,1007,0,0,0,
29200,1002,959,984,1006,0,0,0,
29300,1001,959,983,1004,0,0,0,
29400,1001,959,984,1006,1024,0,0,
29500,1001,959,984,1006,1024,0,0,
29600,1002,959,984,1007,1024,0,0,
29700,1001,959,981,1007,1024,0,0,
29800,1001,959,984,1007,0,0,0,
29900,1002,959,983,1006,0,0,0,
30000,1001,959,984,1007,0,0,0,
30100,1001,959,984,1006,0,0,0,
30200,1001,959,984,1007,0,1024,0,
30300,1001,959,983,1006,0,1024,0,
30400,1002,959,984,1006,0,1024,0,
30500,1001,959,984,1006,0,1024,0,
30600,1001,960,984,1007,0,0,0,
30700,1000,959,983,1007,0,0,0,
30800,1001,959,983,1007,0,0,0,
30900,1001,959,983,1007,0,0,0,
31000,1001,959,984,1006,0,0,1024,
31100,1001,959,983,1006,0,0,1024,
31200,1002,958,984,1007,0,0,1024,
31300,1001,959,984,1006,0,0,1024,
31400,1002,959,983,1006,0,0,0,
31500,1002,959,983,1006,0,0,0,
31600,1002,959,984,1006,0,0,0,
31700,1001,958,984,1006,0,0,0,
31800,1001,959,983,1007,0,0,0,
31900,1001,958,983,1007,1024,0,0,
32000,1001,959,984,1007,1024,0,0,
32100,1001,959,983,1006,1024,0,0,
32200,1002,959,983,1006,1024,0,0,
32300,1001,958,984,1007,0,0,0,
32400,1001,958,983,1006,0,0,0,
32500,1001,958,983,1007,0,0,0,
32600,1001,958,983,1006,0,0,0,
32700,1001,958,983,1006,0,0,0,
32800,1001,958,984,1006,0,1024,0,
32900,1001,958,983,1006,0,1024,0,
33000,1001,958,982,1007,0,1024,0,
33100,1001,958,983,1006,0,1024,0,
33200,1000,958,983,1005,0,0,0,
33300,1000,957,983,1006,0,0,0,
33400,1000,957,982,1006,0,0,0,
33500,1000,957,982,1006,0,0,0,
33600,1000,956,982,1006,0,0,0,
33700,1000,956,982,1006,0,0,1024,
33800,1000,956,982,1006,0,0,1024,
33900,1000,956,982,1006,0,0,1024,
34000,999,956,982,1006,0,0,1024,
34100,1000,956,982,1006,0,0,0,
34200,999,956,982,1006,0,0,0,
34300,1000,956,982,1006,0,0,0,
34400,1000,956,982,1006,0,0,0,
34500,1000,957,982,1006,0,0,0,
34600,1000,956,982,1006,0,1024,0,
34700,1000,957,982,1006,0,1024,1024,
34800,1000,956,982,1006,0,1024,1024,
34900,1000,956,982,1006,0,1024,1024,
35000,1000,956,982,1006,0,0,1024,
35100,999,956,982,1006,0,0,0,
35200,999,956,981,1006,0,0,0,
35300,1000,956,982,1006,0,0,0,
35400,999,955,981,1006,0,0,0,
35500,1000,956,982,1006,1024,0,0,
35600,998,956,981,1006,1024,0,0,
35700,1000,956,982,1007,1024,0,0,
35800,999,955,981,1006,1024,0,0,
35900,999,956,981,1006,0,1024,0,
36000,999,955,981,1006,0,1024,0,
36100,998,956,981,1006,0,1024,0,
36200,999,954,981,1007,0,1024,0,
36300,999,955,981,1006,0,0,1024,
36400,1000,955,981,1006,0,0,1024,
36500,999,956,981,1006,0,0,1024,
36600,999,955,982,1006,0,0,1024,
36700,999,955,981,1006,0,0,0,
36800,999,955,980,1007,1024,0,0,
36900,999,954,981,1006,1024,0,0,
37000,999,955,981,1006,1024,0,0,
37100,1000,955,981,1006,1024,0,0,
37200,997,954,980,1006,0,1024,0,
37300,999,954,981,1006,0,1024,0,
37400,998,955,980,1006,0,1024,0,
37500,999,954,980,1006,0,1024,0,
37600,998,955,980,1006,0,0,1024,
37700,1000,954,981,1005,0,0,1024,
37800,998,953,981,1007,0,0,1024,
37900,999,954,981,1006,0,0,1024,
38000,998,954,980,1006,0,0,0,
38100,998,953,980,1006,1024,0,0,
38200,998,953,980,1006,1024,0,0,
38300,998,953,980,1006,1024,0,0,
38400,998,953,979,1006,1024,0,0,
38500,998,954,980,1006,0,1024,0,
38600,998,954,980,1005,0,1024,0,
38700,999,953,980,1006,0,1024,0,
38800,998,953,980,1006,0,1024,0,
38900,998,953,979,1006,0,0,0,
39000,998,953,980,1006,0,0,1024,
39100,998,953,980,1007,0,0,1024,
39200,998,953,980,1006,0,0,1024,
39300,998,953,980,1006,0,0,1024,
39400,998,953,980,1006,0,0,0,
39500,998,953,978,1006,1024,0,0,
39600,998,953,980,1006,1024,0,0,
39700,998,953,980,1006,1024,0,0,
39800,998,953,980,1006,1024,0,0,
39900,998,952,979,1006,0,1024,0,
40000,998,953,980,1006,0,1024,0,
40100,998,953,978,1006,0,1024,0,
40200,999,954,980,1006,0,1024,0,
40300,998,953,979,1006,0,0,1024,
40400,997,953,980,1006,0,0,1024,
40500,998,952,979,1006,0,0,1024,
40600,998,953,980,1006,0,0,1024,
40700,998,954,980,1006,0,0,0,
40800,999,954,981,1006,0,0,0,
40900,998,954,981,1006,0,0,0,
41000,999,954,980,1006,0,0,0,
41100,998,954,980,1006,1024,0,0,
41200,999,954,980,1006,1024,0,0,
41300,998,953,980,1006,1024,0,0,
41400,998,953,980,1006,1024,0,0,
41500,998,953,979,1006,0,0,0,
41600,998,953,980,1006,0,1024,0,
41700,998,953,979,1006,0,1024,0,
41800,998,954,980,1005,0,1024,0,
41900,998,953,979,1006,0,1024,0,
42000,996,953,980,1006,0,0,1024,
42100,998,952,980,1006,0,0,1024,
42200,998,953,980,1006,0,0,1024,
42300,997,952,979,1006,0,0,1024,
42400,998,953,980,1006,0,0,0,
42500,998,953,980,1006,0,0,0,
42600,998,951,980,1006,0,0,0,
42700,998,953,979,1006,0,0,0,
42800,998,953,979,1006,0,0,0,
42900,998,954,979,1005,0,0,0,
43000,997,954,979,1006,0,0,0,
43100,998,955,979,1006,0,0,0,
43200,997,955,979,1006,0,0,0,
43300,998,956,979,1005,0,0,0,
43400,998,957,979,1005,0,0,0,
43500,999,959,980,1006,0,0,0,
43600,998,958,980,1006,0,0,0,
43700,999,959,980,1006,0,0,0,
43800,999,959,980,1006,0,0,0,
43900,1000,960,981,1006,0,0,0,
44000,1001,962,982,1004,0,0,0,
44100,1002,963,983,1006,0,0,0,
44200,1002,964,983,1006,0,0,0,
44300,1003,965,983,1007,0,0,0,
44400,1002,965,984,1006,0,0,0,
