
time,frontLDR,topLDR,middleLDR,bottomLDR,topSolenoid,middleSolenoid,bottomSolenoid,
0,972,940,979,991,0,0,0,
100,972,940,979,991,0,0,0,
200,971,940,979,991,0,0,0,
300,972,941,979,991,0,0,0,
400,972,941,979,991,0,0,0,
500,971,939,978,991,0,0,0,
600,970,939,977,990,0,0,0,
700,970,938,977,990,0,0,0,
800,970,937,977,991,0,0,0,
900,970,938,977,991,0,0,0,
1000,971,939,977,991,0,0,0,
1100,970,938,977,991,0,0,0,
1200,970,938,977,990,0,0,0,
1300,971,938,978,991,0,0,0,
1400,970,938,978,990,0,0,0,
1500,970,936,978,991,0,0,0,
1600,971,938,978,990,0,0,0,
1700,970,938,977,990,0,0,0,
1800,969,937,977,990,0,0,0,
1900,968,935,976,990,0,0,0,
2000,968,936,975,989,0,0,0,
2100,967,935,975,989,0,0,0,
2200,967,932,976,989,0,0,0,
2300,966,934,974,988,0,0,0,
2400,967,935,974,988,0,0,0,
2500,967,934,975,988,0,0,0,
2600,966,934,974,988,0,0,0,
2700,964,932,973,987,0,0,0,
2800,965,932,974,987,0,0,0,
2900,964,931,973,987,0,0,0,
3000,966,932,974,987,0,0,0,
3100,965,932,973,987,0,0,0,
3200,967,932,974,987,0,0,0,
3300,964,929,974,987,0,0,0,
3400,964,932,974,988,0,0,0,
3500,964,931,974,985,0,0,0,
3600,966,932,975,988,0,0,0,
3700,965,932,975,987,0,0,0,
3800,966,933,975,987,0,0,0,
3900,966,932,975,987,0,0,0,
4000,967,933,975,987,0,0,0,
4100,967,933,975,988,0,0,0,
4200,968,933,976,988,0,0,0,
4300,968,933,975,988,0,0,0,
4400,968,931,976,989,0,0,0,
4500,968,933,975,988,0,0,0,
4600,968,933,975,987,0,0,0,
4700,968,933,975,987,0,0,0,
4800,968,933,975,988,0,0,0,
4900,968,933,975,987,0,0,0,
5000,970,933,976,987,0,0,0,
5100,972,933,976,988,0,0,0,
5200,975,935,976,989,0,0,0,
5300,975,937,978,989,0,0,0,
5400,976,941,979,989,0,0,0,
5500,977,941,980,991,0,0,0,
5600,976,940,980,990,0,0,0,
5700,974,936,979,990,0,0,0,
5800,968,934,978,989,0,0,0,
5900,966,933,976,990,0,0,0,
6000,965,932,975,988,0,0,0,
6100,966,932,976,991,0,0,0,
6200,965,929,977,995,0,0,0,
6300,967,932,978,996,0,0,0,
6400,965,931,977,997,0,0,0,
6500,963,931,978,998,0,0,0,
6600,964,931,978,998,0,0,0,
6700,966,932,978,998,0,0,0,
6800,965,931,978,998,0,0,0,
6900,966,931,979,999,0,0,0,
7000,964,930,978,999,0,0,0,
7100,965,930,979,1000,0,0,0,
7200,964,929,979,1001,0,0,0,
7300,964,930,979,1000,0,0,0,
7400,964,930,979,1000,0,0,0,
7500,965,930,978,999,0,0,0,
7600,964,929,977,1000,0,0,0,
7700,964,930,975,1000,0,0,0,
7800,963,930,976,999,0,0,0,
7900,964,927,977,999,0,0,0,
8000,964,930,976,998,0,0,0,
8100,965,930,977,999,0,0,0,
8200,964,930,977,999,0,0,0,
8300,965,930,977,999,0,0,0,
8400,963,929,976,1000,0,0,0,
8500,965,930,978,998,0,0,0,
8600,964,930,977,1000,0,0,0,
8700,965,930,978,1000,0,0,0,
8800,964,929,978,1000,0,0,0,
8900,965,930,978,1000,0,0,0,
9000,962,929,977,1000,0,0,0,
9100,959,930,976,1000,0,0,0,
9200,952,924,970,997,0,0,0,
9300,939,919,963,986,0,0,0,
9400,933,915,960,980,0,0,0,
9500,926,911,955,964,0,0,0,
9600,920,910,950,957,0,0,0,
9700,919,907,947,955,0,0,0,
9800,921,910,949,954,0,0,0,
9900,922,910,948,953,0,0,0,
10000,924,909,946,952,0,0,0,
10100,920,903,940,947,0,0,0,
10200,919,901,928,943,0,0,0,
10300,914,897,921,939,0,0,0,
10400,913,897,922,936,0,0,0,
10500,913,897,921,935,0,0,0,
10600,916,897,921,934,0,0,0,
10700,914,897,918,932,0,0,0,
10800,915,898,920,934,0,0,0,
10900,913,898,919,932,0,0,0,
11000,913,898,921,931,0,0,0,
11100,911,896,919,931,0,0,0,
11200,914,897,920,932,0,0,0,
11300,913,897,921,932,0,0,0,
11400,916,897,925,933,0,0,0,
11500,915,897,927,934,0,0,0,
11600,917,894,931,936,0,0,0,
11700,919,876,934,940,0,0,0,
11800,859,767,917,941,0,0,0,
11900,55,505,774,934,0,0,0,
12000,12,436,500,906,0,0,0,
12100,6,326,399,887,0,0,0,
12200,6,173,301,875,0,0,0,
12300,6,170,278,870,0,0,0,
12400,5,204,190,846,0,0,0,
12500,6,224,169,824,0,0,0,
12600,7,233,166,811,0,0,0,
12700,6,234,165,808,0,0,0,
12800,7,233,163,806,0,0,0,
12900,7,236,164,806,0,0,0,
13000,7,232,165,805,0,0,0,
13100,7,225,167,807,0,0,0,
13200,9,218,168,808,0,0,0,
13300,8,217,169,809,0,0,0,
13400,8,220,171,799,0,0,0,
13500,7,205,188,799,0,0,0,
13600,20,137,269,846,0,0,0,
13700,216,40,368,878,0,0,0,
13800,298,12,386,861,0,0,0,
13900,276,13,386,876,0,0,0,
14000,273,16,346,891,0,0,0,
14100,277,9,243,894,0,0,0,
14200,295,7,250,885,0,0,0,
14300,294,7,251,885,0,0,0,
14400,291,7,251,885,0,0,0,
14500,292,7,251,886,0,0,0,
14600,292,7,251,886,0,0,0,
14700,292,7,252,886,0,0,0,
14800,291,7,251,885,0,0,0,
14900,291,7,251,886,0,0,0,
15000,293,8,253,885,0,0,0,
15100,293,7,254,884,0,0,0,
15200,297,9,255,880,0,0,0,
15300,271,22,253,858,0,0,0,
15400,308,54,279,834,0,0,0,
15500,325,89,278,812,0,0,0,
15600,280,152,179,808,0,0,0,
15700,208,270,38,783,0,0,0,
15800,220,248,12,791,0,0,0,
15900,222,239,9,772,0,0,0,
16000,227,239,6,740,0,0,0,
16100,235,248,5,727,0,0,0,
16200,240,250,6,726,0,0,0,
16300,242,250,5,724,0,0,0,
16400,244,250,4,724,0,0,0,
16500,245,250,5,723,0,0,0,
16600,244,250,6,723,0,0,0,
16700,244,250,5,722,0,0,0,
16800,245,251,5,722,0,0,0,
16900,252,248,8,744,0,0,0,
17000,225,323,8,726,0,0,0,
17100,530,651,94,92,0,0,0,
17200,462,719,245,26,0,0,0,
17300,714,789,447,27,0,0,0,
17400,721,820,521,8,0,0,0,
17500,783,822,601,7,0,0,0,
17600,760,822,563,6,0,0,0,
17700,676,806,411,4,0,0,0,
17800,640,794,353,4,0,0,0,
17900,662,794,381,4,0,0,0,
18000,657,797,376,3,0,0,0,
18100,617,789,330,4,0,0,0,
18200,594,780,302,3,0,0,0,
18300,617,785,330,3,0,0,0,
18400,604,784,316,2,0,0,0,
18500,574,776,286,3,0,0,0,
18600,597,782,316,2,0,0,0,
