
time,frontLDR,topLDR,middleLDR,bottomLDR,topSolenoid,middleSolenoid,bottomSolenoid,
0,971,939,979,988,0,0,0,
100,971,939,979,989,0,0,0,
200,972,939,979,988,0,0,0,
300,970,939,979,988,0,0,0,
400,971,939,979,988,0,0,0,
500,970,939,979,988,0,0,0,
600,971,938,979,988,0,0,0,
700,969,937,978,987,0,0,0,
800,970,937,978,988,0,0,0,
900,969,936,977,988,0,0,0,
1000,970,937,978,988,0,0,0,
1100,969,937,978,987,0,0,0,
1200,970,938,979,988,0,0,0,
1300,970,938,979,988,0,0,0,
1400,972,939,979,989,0,0,0,
1500,970,939,979,988,0,0,0,
1600,970,939,980,988,0,0,0,
1700,969,938,977,989,0,0,0,
1800,968,934,976,988,0,0,0,
1900,966,934,975,987,0,0,0,
2000,967,934,975,987,0,0,0,
2100,968,934,975,988,0,0,0,
2200,969,936,977,988,0,0,0,
2300,971,938,978,988,0,0,0,
2400,970,938,978,988,0,0,0,
2500,971,938,979,988,0,0,0,
2600,970,939,979,988,0,0,0,
2700,971,938,980,988,0,0,0,
2800,970,938,979,990,0,0,0,
2900,970,938,979,988,0,0,0,
3000,968,936,977,986,0,0,0,
3100,968,936,977,988,0,0,0,
3200,967,936,977,988,0,0,0,
3300,969,935,976,988,0,0,0,
3400,969,936,977,988,0,0,0,
3500,969,936,978,988,0,0,0,
3600,966,934,975,988,0,0,0,
3700,967,932,975,988,0,0,0,
3800,966,932,975,987,0,0,0,
3900,965,933,975,987,0,0,0,
4000,967,933,976,987,0,0,0,
4100,968,934,975,986,0,0,0,
4200,967,933,976,987,0,0,0,
4300,966,934,976,988,0,0,0,
4400,967,934,974,988,0,0,0,
4500,966,932,975,987,0,0,0,
4600,969,936,977,987,0,0,0,
4700,967,935,977,988,0,0,0,
4800,969,936,977,988,0,0,0,
4900,969,935,976,987,0,0,0,
5000,968,937,977,988,0,0,0,
5100,968,935,977,987,0,0,0,
5200,970,936,976,988,0,0,0,
5300,970,937,977,988,0,0,0,
5400,970,938,978,986,0,0,0,
5500,970,938,978,988,0,0,0,
5600,971,938,978,988,0,0,0,
5700,968,936,977,988,0,0,0,
5800,970,937,977,988,0,0,0,
5900,969,935,978,988,0,0,0,
6000,972,939,979,988,0,0,0,
6100,970,939,978,988,0,0,0,
6200,971,940,979,988,0,0,0,
6300,968,938,980,988,0,0,0,
6400,972,939,979,989,0,0,0,
6500,970,938,978,988,0,0,0,
6600,970,939,979,988,0,0,0,
6700,970,939,979,988,0,0,0,
6800,972,938,979,988,0,0,0,
6900,969,938,978,988,0,0,0,
7000,969,936,977,988,0,0,0,
7100,968,936,978,988,0,0,0,
7200,966,932,974,988,0,0,0,
7300,966,932,974,986,0,0,0,
7400,964,931,973,987,0,0,0,
7500,966,932,975,987,0,0,0,
7600,965,930,973,988,0,0,0,
7700,966,931,973,987,0,0,0,
7800,965,930,973,987,0,0,0,
7900,966,931,973,988,0,0,0,
8000,964,929,972,987,0,0,0,
8100,965,931,973,987,0,0,0,
8200,965,931,974,987,0,0,0,
8300,971,936,977,988,0,0,0,
8400,970,937,978,988,0,0,0,
8500,971,938,979,988,0,0,0,
8600,970,938,978,988,0,0,0,
8700,967,931,976,988,0,0,0,
8800,963,929,972,987,0,0,0,
8900,962,928,970,986,0,0,0,
9000,962,927,971,986,0,0,0,
9100,968,932,974,987,0,0,0,
9200,966,932,974,987,0,0,0,
9300,968,933,974,986,0,0,0,
9400,963,930,972,987,0,0,0,
9500,964,928,971,987,0,0,0,
9600,963,927,969,986,0,0,0,
9700,964,928,971,986,0,0,0,
9800,968,931,976,987,0,0,0,
9900,968,934,975,988,0,0,0,
10000,967,934,975,988,0,0,0,
10100,968,934,976,988,0,0,0,
10200,966,935,976,988,0,0,0,
10300,968,934,977,987,0,0,0,
10400,966,931,973,987,0,0,0,
10500,965,931,973,985,0,0,0,
10600,966,930,973,987,0,0,0,
10700,964,930,972,987,0,0,0,
10800,965,929,972,987,0,0,0,
10900,967,933,975,987,0,0,0,
11000,967,935,976,988,0,0,0,
11100,968,934,975,988,0,0,0,
11200,970,935,976,988,0,0,0,
11300,968,934,976,987,0,0,0,
11400,969,935,976,988,0,0,0,
11500,967,934,976,988,0,0,0,
11600,969,935,977,988,0,0,0,
11700,967,934,976,988,0,0,0,
11800,962,926,970,987,0,0,0,
11900,961,924,967,987,0,0,0,
12000,961,924,968,985,0,0,0,
12100,965,926,969,986,0,0,0,
12200,968,935,976,988,0,0,0,
12300,968,934,974,987,0,0,0,
12400,968,934,976,988,0,0,0,
12500,969,935,976,987,0,0,0,
12600,967,934,976,987,0,0,0,
12700,969,935,976,987,0,0,0,
12800,969,936,977,986,0,0,0,
12900,971,938,978,988,0,0,0,
13000,970,937,977,988,0,0,0,
13100,968,936,977,988,0,0,0,
13200,966,933,975,987,0,0,0,
