
time,frontLDR,topLDR,middleLDR,bottomLDR,topSolenoid,middleSolenoid,bottomSolenoid,
0,724,824,795,743,0,0,0,
100,723,822,795,742,0,0,0,
200,724,824,795,742,0,0,0,
300,725,824,795,743,0,0,0,
400,724,824,795,743,0,0,0,
500,723,824,795,742,0,0,0,
600,724,823,795,742,0,0,0,
700,725,825,795,742,0,0,0,
800,725,826,796,742,0,0,0,
900,724,826,796,743,0,0,0,
1000,725,825,796,742,0,0,0,
1100,726,826,795,742,0,0,0,
1200,725,824,795,742,0,0,0,
1300,724,825,796,742,0,0,0,
1400,725,825,795,742,0,0,0,
1500,726,826,796,742,0,0,0,
1600,725,825,795,743,0,0,0,
1700,724,825,795,742,0,0,0,
1800,723,824,795,742,0,0,0,
1900,725,824,796,742,0,0,0,
2000,724,824,795,742,0,0,0,
2100,725,825,795,742,0,0,0,
2200,726,826,795,742,0,0,0,
2300,726,826,797,742,0,0,0,
2400,726,826,796,742,0,0,0,
2500,725,826,796,742,0,0,0,
2600,726,827,796,741,0,0,0,
2700,727,828,797,742,0,0,0,
2800,726,827,796,742,0,0,0,
2900,726,827,796,742,0,0,0,
3000,726,827,796,742,0,0,0,
3100,727,827,797,742,0,0,0,
3200,725,825,796,741,0,0,0,
3300,726,827,796,742,0,0,0,
3400,726,827,796,742,0,0,0,
3500,726,827,797,741,0,0,0,
3600,725,826,796,741,0,0,0,
3700,725,827,796,741,0,0,0,
3800,725,826,796,741,0,0,0,
3900,726,826,796,740,0,0,0,
4000,725,826,795,742,0,0,0,
4100,725,826,796,742,0,0,0,
4200,725,827,796,741,0,0,0,
4300,726,827,796,741,0,0,0,
4400,725,827,795,741,0,0,0,
4500,725,826,795,742,0,0,0,
4600,725,826,796,741,0,0,0,
4700,726,826,796,741,0,0,0,
4800,726,826,796,741,0,0,0,
4900,724,826,795,742,0,0,0,
5000,724,827,796,741,0,0,0,
5100,726,826,796,742,0,0,0,
5200,725,827,796,741,0,0,0,
5300,725,826,795,741,0,0,0,
5400,726,826,796,741,0,0,0,
5500,725,826,796,741,0,0,0,
5600,725,826,795,741,0,0,0,
5700,724,826,795,741,0,0,0,
5800,725,826,796,741,0,0,0,
5900,725,826,796,740,0,0,0,
6000,726,827,796,741,0,0,0,
6100,725,827,796,741,0,0,0,
6200,726,829,797,741,0,0,0,
6300,726,827,797,741,0,0,0,
6400,726,828,797,741,0,0,0,
6500,725,828,797,741,0,0,0,
6600,726,828,798,740,0,0,0,
6700,726,826,797,741,0,0,0,
6800,738,830,804,751,0,0,0,
6900,805,856,848,809,0,0,0,
7000,874,885,893,869,0,0,0,
7100,928,906,928,920,0,0,0,
7200,970,923,957,965,0,0,0,
7300,981,931,967,982,0,0,0,
7400,983,933,970,989,0,0,0,
7500,983,929,966,989,0,0,0,
7600,981,921,957,987,0,0,0,
7700,979,906,943,983,0,0,0,
7800,975,883,922,975,0,0,0,
7900,974,878,917,971,0,0,0,
8000,974,875,915,971,0,0,0,
8100,973,873,914,972,0,0,0,
8200,974,873,913,970,0,0,0,
8300,973,872,912,970,0,0,0,
8400,973,871,912,970,0,0,0,
8500,972,872,912,970,0,0,0,
8600,973,871,911,971,0,0,0,
8700,971,871,911,970,0,0,0,
8800,971,870,911,970,0,0,0,
8900,970,870,911,970,0,0,0,
9000,971,868,912,969,0,0,0,
9100,971,871,911,970,0,0,0,
9200,971,870,911,968,0,0,0,
9300,971,871,911,970,0,0,0,
9400,970,870,911,969,0,0,0,
9500,968,868,909,969,0,0,0,
9600,968,867,909,969,0,0,0,
9700,969,868,909,968,0,0,0,
9800,968,867,908,968,0,0,0,
9900,969,867,909,968,0,0,0,
10000,967,866,907,969,0,0,0,
10100,969,867,908,969,0,0,0,
10200,967,866,908,969,0,0,0,
10300,968,867,909,968,0,0,0,
10400,969,866,909,969,0,0,0,
10500,970,868,909,969,0,0,0,
10600,968,866,908,968,0,0,0,
10700,967,866,908,968,0,0,0,
10800,969,866,907,969,0,0,0,
10900,970,866,908,970,0,0,0,
11000,968,866,908,969,0,0,0,
11100,968,867,909,967,0,0,0,
11200,969,866,909,969,0,0,0,
11300,969,866,911,969,0,0,0,
11400,968,866,918,968,0,0,0,
11500,969,867,920,968,0,0,0,
11600,966,866,902,969,0,0,0,
11700,969,866,877,969,0,0,0,
11800,967,866,872,968,0,0,0,
11900,967,866,863,969,0,0,0,
12000,967,865,845,969,0,0,0,
12100,968,866,835,969,0,0,0,
